name,index,year,D,S
Edirne,SPI12,1994,9,10.377
Edirne,SPI12,1994,10,11.069
Edirne,SPI12,1994,11,11.72
Edirne,SPI12,1994,12,12.428
Edirne,SPI12,1995,1,0.0
Edirne,SPI12,1995,2,0.0
Edirne,SPI12,1995,3,0.0
Edirne,SPI12,1995,4,0.0
Edirne,SPI12,1995,5,0.0
Edirne,SPI12,1995,6,0.0
Edirne,SPI12,1995,7,0.0
Edirne,SPI12,1995,8,0.0
Edirne,SPI12,1995,9,0.0
Edirne,SPI12,1995,10,0.0
Edirne,SPI12,1995,11,0.0
Edirne,SPI12,1995,12,0.0
Edirne,SPI12,1996,1,0.308
Edirne,SPI12,1996,2,0.385
Edirne,SPI12,1996,3,0.0
Edirne,SPI12,1996,4,0.0
Edirne,SPI12,1996,5,0.0
Edirne,SPI12,1996,6,0.0
Edirne,SPI12,1996,7,0.0
Edirne,SPI12,1996,8,0.0
Edirne,SPI12,1996,9,0.0
Edirne,SPI12,1996,10,0.0
Edirne,SPI12,1996,11,0.0
Edirne,SPI12,1996,12,0.0
Edirne,SPI12,1997,1,0.412
Edirne,SPI12,1997,2,0.804
Edirne,SPI12,1997,3,1.131
Edirne,SPI12,1997,4,1.453
Edirne,SPI12,1997,5,1.655
Edirne,SPI12,1997,6,0.0
Edirne,SPI12,1997,7,0.0
Edirne,SPI12,1997,8,0.0
Edirne,SPI12,1997,9,0.0
Edirne,SPI12,1997,10,0.0
Edirne,SPI12,1997,11,0.0
Edirne,SPI12,1997,12,0.0
Edirne,SPI12,1998,1,0.0
Edirne,SPI12,1998,2,0.0
Edirne,SPI12,1998,3,0.0
Edirne,SPI12,1998,4,0.0
Edirne,SPI12,1998,5,0.0
Edirne,SPI12,1998,6,0.0
Edirne,SPI12,1998,7,0.0
Edirne,SPI12,1998,8,0.0
Edirne,SPI12,1998,9,0.0
Edirne,SPI12,1998,10,0.0
Edirne,SPI12,1998,11,0.0
Edirne,SPI12,1998,12,0.0
Edirne,SPI12,1999,1,0.0
Edirne,SPI12,1999,2,0.0
Edirne,SPI12,1999,3,0.0
Edirne,SPI12,1999,4,0.0
Edirne,SPI12,1999,5,0.0
Edirne,SPI12,1999,6,0.0
Edirne,SPI12,1999,7,0.0
Edirne,SPI12,1999,8,0.0
Edirne,SPI12,1999,9,0.0
Edirne,SPI12,1999,10,0.0
Edirne,SPI12,1999,11,0.0
Edirne,SPI12,1999,12,0.0
Edirne,SPI12,2000,1,1.811
Edirne,SPI12,2000,2,3.366
Edirne,SPI12,2000,3,4.861
Edirne,SPI12,2000,4,6.107
Edirne,SPI12,2000,5,7.093
Edirne,SPI12,2000,6,8.544
Edirne,SPI12,2000,7,9.148
Edirne,SPI12,2000,8,9.572
Edirne,SPI12,2000,9,9.79
Edirne,SPI12,2000,10,10.25
Edirne,SPI12,2000,11,10.418
Edirne,SPI12,2000,12,0.0
Edirne,SPI12,2001,1,1.803
Edirne,SPI12,2001,2,3.439
Edirne,SPI12,2001,3,4.892
Edirne,SPI12,2001,4,6.508
Edirne,SPI12,2001,5,8.079
Edirne,SPI12,2001,6,9.763
Edirne,SPI12,2001,7,11.396
Edirne,SPI12,2001,8,12.796
Edirne,SPI12,2001,9,14.163
Edirne,SPI12,2001,10,15.445
Edirne,SPI12,2001,11,16.825
Edirne,SPI12,2001,12,18.276
Edirne,SPI12,2002,1,1.247
Edirne,SPI12,2002,2,2.425
Edirne,SPI12,2002,3,3.873
Edirne,SPI12,2002,4,5.676
Edirne,SPI12,2002,5,7.132
Edirne,SPI12,2002,6,8.748
Edirne,SPI12,2002,7,10.197
Edirne,SPI12,2002,8,11.952
Edirne,SPI12,2002,9,13.636
Edirne,SPI12,2002,10,15.036
Edirne,SPI12,2002,11,16.403
Edirne,SPI12,2002,12,17.685
Edirne,SPI12,2003,1,0.132
Edirne,SPI12,2003,2,0.226
Edirne,SPI12,2003,3,0.0
Edirne,SPI12,2003,4,0.0
Edirne,SPI12,2003,5,0.0
Edirne,SPI12,2003,6,0.0
Edirne,SPI12,2003,7,0.0
Edirne,SPI12,2003,8,0.0
Edirne,SPI12,2003,9,0.0
Edirne,SPI12,2003,10,0.0
Edirne,SPI12,2003,11,0.0
Edirne,SPI12,2003,12,0.0
Edirne,SPI12,2004,1,1.683
Edirne,SPI12,2004,2,3.033
Edirne,SPI12,2004,3,3.965
Edirne,SPI12,2004,4,4.678
Edirne,SPI12,2004,5,5.169
Edirne,SPI12,2004,6,5.776
Edirne,SPI12,2004,7,6.654
Edirne,SPI12,2004,8,7.738
Edirne,SPI12,2004,9,8.67
Edirne,SPI12,2004,10,9.402
Edirne,SPI12,2004,11,10.313
Edirne,SPI12,2004,12,11.034
Edirne,SPI12,2005,1,0.771
Edirne,SPI12,2005,2,1.703
Edirne,SPI12,2005,3,3.053
Edirne,SPI12,2005,4,4.736
Edirne,SPI12,2005,5,5.449
Edirne,SPI12,2005,6,5.94
Edirne,SPI12,2005,7,6.547
Edirne,SPI12,2005,8,7.071
Edirne,SPI12,2005,9,8.357
Edirne,SPI12,2005,10,9.441
Edirne,SPI12,2005,11,10.173
Edirne,SPI12,2005,12,11.084
Edirne,SPI12,2006,1,0.0
Edirne,SPI12,2006,2,0.0
Edirne,SPI12,2006,3,0.0
Edirne,SPI12,2006,4,0.0
Edirne,SPI12,2006,5,0.0
Edirne,SPI12,2006,6,0.0
Edirne,SPI12,2006,7,0.0
Edirne,SPI12,2006,8,0.0
Edirne,SPI12,2006,9,0.0
