name,indeks,k,D,n,z_mk,p_mk,z_hr,p_hr,var_infl,sig_hr_bh,z_tfpw,p_tfpw
Lüleburgaz,SPI,6,11,59,1.914,0.0555793835334703,2.392,0.0167432801233728,0.64,False,1.9143191929350944,0.05557938353347036
Lüleburgaz,SPI,6,12,59,2.849,0.0043864360329186,2.345,0.0190043537082047,1.475,False,2.8489457423744904,0.004386436032918661
Lüleburgaz,SPI,9,1,59,0.903,0.3663532802637026,0.903,0.3663532802637026,1.0,False,0.9033252859092941,0.3663532802637026
Lüleburgaz,SPI,9,2,59,0.952,0.3413055171221313,0.952,0.3413055171221313,1.0,False,0.9515888920891682,0.3413055171221313
Lüleburgaz,SPI,9,3,59,0.744,0.4567002260621362,0.744,0.4567002260621362,1.0,False,0.7442913617908262,0.4567002260621362
Lüleburgaz,SPI,9,4,59,1.607,0.1081107320109791,1.607,0.1081107320109791,1.0,False,1.6067431124636933,0.1081107320109791
Lüleburgaz,SPI,9,5,59,1.675,0.0940261273866063,1.675,0.0940261273866063,1.0,False,1.6745318137114762,0.09402612738660632
Lüleburgaz,SPI,9,6,59,1.991,0.0464967188420633,1.991,0.0464967188420633,1.0,False,1.9908560168811336,0.0464967188420633
Lüleburgaz,SPI,9,7,59,2.308,0.0209824960719744,2.308,0.0209824960719744,1.0,False,2.308299287098744,0.020982496071974444
Lüleburgaz,SPI,9,8,59,2.077,0.0378259443584172,1.884,0.0595017671004998,1.214,False,2.0767358663072875,0.03782594435841724
Lüleburgaz,SPI,9,9,59,2.262,0.0237173290219407,2.262,0.0237173290219407,1.0,False,2.261677610538181,0.02371732902194079
Lüleburgaz,SPI,9,10,59,2.058,0.0396338745269793,1.862,0.0625871177093451,1.221,False,2.0575445465753304,0.03963387452697931
Lüleburgaz,SPI,9,11,59,1.78,0.0750649063913744,1.78,0.0750649063913744,1.0,False,1.7800675502305203,0.07506490639137442
Lüleburgaz,SPI,9,12,59,1.975,0.0482256759121786,1.975,0.0482256759121786,1.0,False,1.9753743985595769,0.048225675912178634
Lüleburgaz,SPI,12,1,59,2.21,0.0271245135209095,2.003,0.0452134674171611,1.217,False,2.209721257275313,0.0271245135209095
Lüleburgaz,SPI,12,2,59,1.855,0.063621697519989,1.668,0.0952991378984298,1.236,False,1.8548216626914185,0.06362169751998903
Lüleburgaz,SPI,12,3,59,1.487,0.1370001619987628,1.334,0.1823282916174271,1.243,False,1.487055466854623,0.13700016199876286
Lüleburgaz,SPI,12,4,59,1.559,0.1189378405815499,1.559,0.1189378405815499,1.0,False,1.5592473805393683,0.11893784058154999
Lüleburgaz,SPI,12,5,59,1.6,0.1096155776982465,1.6,0.1096155776982465,1.0,False,1.5999233991621344,0.10961557769824659
Lüleburgaz,SPI,12,6,59,1.499,0.1339685146142186,1.499,0.1339685146142186,1.0,False,1.4986343569169407,0.13396851461421866
Lüleburgaz,SPI,12,7,59,1.228,0.2194507231558282,1.095,0.2735204227486623,1.258,False,1.2279899967217491,0.21945072315582825
Lüleburgaz,SPI,12,8,59,0.707,0.4796182721921982,0.64,0.5220860951523627,1.22,False,0.7069166566739904,0.4796182721921982
Lüleburgaz,SPI,12,9,59,0.765,0.4444953909308951,0.692,0.4891349030773368,1.222,False,0.764624138851459,0.4444953909308951
Lüleburgaz,SPI,12,10,59,0.911,0.3623749066424169,0.911,0.3623749066424169,1.0,False,0.9108490641698629,0.3623749066424169
Lüleburgaz,SPI,12,11,59,1.009,0.3128390062184558,1.009,0.3128390062184558,1.0,False,1.0092828424877225,0.31283900621845584
Lüleburgaz,SPI,12,12,59,0.921,0.3571138616344793,0.921,0.3571138616344793,1.0,False,0.9208785059194549,0.35711386163447933
Sarıyer,SPEI,1,1,59,2.511,0.0120297484034717,2.077,0.0377741458508469,1.461,False,2.511270482336606,0.012029748403471707
Sarıyer,SPEI,1,2,59,1.72,0.0853886904467249,1.72,0.0853886904467249,1.0,False,1.720240739628042,0.08538869044672492
Sarıyer,SPEI,1,3,59,1.298,0.1944351722639095,1.573,0.1158106275204227,0.681,False,1.297569896219405,0.1944351722639095
Sarıyer,SPEI,1,4,59,1.962,0.0497561517998688,1.962,0.0497561517998688,1.0,False,1.9620543940339326,0.04975615179986881
