name,year,month,SPI12_ec,SPEI12_ec,dekad
Kırklareli,2020,12,-0.7902357289964582,-1.6820048454007481,2020
Kırklareli,2021,1,0.525942298900868,0.02104662512780675,2020
Kırklareli,2021,2,0.9954516772410884,0.5727621725413824,2020
Kırklareli,2021,3,1.0898890277065811,0.7479949169810189,2020
Kırklareli,2021,4,1.3586118786745307,0.9873642289374931,2020
Kırklareli,2021,5,0.9793708281603533,0.3541679857505288,2020
Kırklareli,2021,6,0.8695899859682289,0.454571279178512,2020
Kırklareli,2021,7,0.9174206561361983,0.23546288166120408,2020
Kırklareli,2021,8,0.9961623178605947,0.22701452977833328,2020
Kırklareli,2021,9,0.906782176344275,0.2723983152923403,2020
Kırklareli,2021,10,0.7956365284807176,0.5446549800390663,2020
Kırklareli,2021,11,1.372187127975514,1.179431009977452,2020
Kırklareli,2021,12,2.3543946622587164,1.851924180682351,2020
Kırklareli,2022,1,1.290409037119908,1.1614511195512551,2020
Kırklareli,2022,2,1.6498709555017796,1.4548232332980708,2020
Kırklareli,2022,3,1.4573182965670786,1.3369970510231184,2020
Kırklareli,2022,4,1.4101690761762706,1.1756061732351974,2020
Kırklareli,2022,5,1.2749888653281465,0.649757848694704,2020
Kırklareli,2022,6,0.7777322568367259,0.43686143314986997,2020
Kırklareli,2022,7,0.9241482485466939,0.4232640756664375,2020
Kırklareli,2022,8,1.0901057795368172,0.4981273403245367,2020
Kırklareli,2022,9,1.3030906347654843,0.602715566089699,2020
Kırklareli,2022,10,1.004428169256651,0.6801224387667589,2020
Kırklareli,2022,11,0.3723926391980853,-0.022900753654935827,2020
Kırklareli,2022,12,-0.47522621886111543,-1.1362715341959788,2020
Kırklareli,2023,1,-0.485508253052713,-1.373736081109587,2020
Kırklareli,2023,2,-1.9664148319146308,-3.7573651927824443,2020
Kırklareli,2023,3,-1.4432332292960433,-2.653261153180866,2020
Kırklareli,2023,4,-0.9849197308675414,-1.8491433526493413,2020
Kırklareli,2023,5,-0.7161855206736559,-0.9557844019910406,2020
Kırklareli,2023,6,-0.6701159803213218,-1.1446035443222329,2020
Kırklareli,2023,7,-0.6867630782130744,-0.9532514713522643,2020
Kırklareli,2023,8,-1.0731431240154619,-1.3385318782203761,2020
Kırklareli,2023,9,-1.312698317043302,-1.6328459761470138,2020
Kırklareli,2023,10,-1.4574636953815114,-2.239600013857871,2020
Kırklareli,2023,11,0.029726798360642077,-0.7770330029279342,2020
Kırklareli,2023,12,0.2355072006529598,-0.4297243254855312,2020
Kırklareli,2024,1,0.5417080372339986,-0.08959774292344914,2020
Kırklareli,2024,2,0.6829987158188329,-0.02811949570849633,2020
Kırklareli,2024,3,0.7807333043513572,0.015561061116092432,2020
Kırklareli,2024,4,0.15420611805818188,-1.116658053539933,2020
Kırklareli,2024,5,0.37607803574632875,-0.4594184865844291,2020
Kırklareli,2024,6,0.07355973208711973,-1.4487673026786547,2020
Kırklareli,2024,7,-0.07902625879774204,-1.3943463273851897,2020
Kırklareli,2024,8,-0.021010035427739687,-1.1688570532660967,2020
Kırklareli,2024,9,0.3737812139986894,-0.6977740063800116,2020
Kırklareli,2024,10,0.35816904695128554,-1.065553732733967,2020
Kırklareli,2024,11,-0.9149333284207727,-2.1071041188403927,2020
Kırklareli,2024,12,-1.2848391632182128,-3.840332602867012,2020
Lüleburgaz,1965,12,1.727298895969768,1.6681338696763255,1960
Lüleburgaz,1966,1,2.516214819690288,2.1815453461496612,1960
Lüleburgaz,1966,2,1.874620928249978,1.92796635890714,1960
Lüleburgaz,1966,3,1.829641303810591,1.8550389373266756,1960
Lüleburgaz,1966,4,1.6779465211677933,1.564175094289174,1960
Lüleburgaz,1966,5,1.6670388630364668,0.9130426051898303,1960
Lüleburgaz,1966,6,1.712263628343437,1.622620234389564,1960
Lüleburgaz,1966,7,1.7285718361649773,1.561695302687082,1960
Lüleburgaz,1966,8,1.7815885980515431,1.5214339334543636,1960
Lüleburgaz,1966,9,1.726056616674536,1.503457653821982,1960
Lüleburgaz,1966,10,2.248435516260217,1.7709401105033864,1960
Lüleburgaz,1966,11,2.4213633322256194,1.8887257745043489,1960
Lüleburgaz,1966,12,2.3077932282860245,1.8346350038974335,1960
Lüleburgaz,1967,1,1.9517961864489524,1.6218377477847303,1960
Lüleburgaz,1967,2,2.0201205329114345,2.025596919647689,1960
Lüleburgaz,1967,3,1.6271029921390054,1.6233769356111518,1960
Lüleburgaz,1967,4,1.7288735943216023,1.691476089805964,1960
Lüleburgaz,1967,5,1.3290556519812915,0.7242232025367998,1960
Lüleburgaz,1967,6,1.7037152865683074,1.4901357370830692,1960
Lüleburgaz,1967,7,1.870614142887661,1.6161032315244546,1960
Lüleburgaz,1967,8,1.8977565093901976,1.693578050812537,1960
Lüleburgaz,1967,9,1.9504213913066637,1.631165701610396,1960
Lüleburgaz,1967,10,1.8363687193020846,1.6774447414729565,1960
Lüleburgaz,1967,11,0.7520456566128335,0.8791775030634541,1960
Lüleburgaz,1967,12,0.1703367903146697,0.28684758758820134,1960
Lüleburgaz,1968,1,0.6186847055585263,0.7151760137698371,1960
Lüleburgaz,1968,2,0.5007504203615717,0.42457947690721654,1960
Lüleburgaz,1968,3,0.6957251460821511,0.7028400408990761,1960
Lüleburgaz,1968,4,0.46044485039917843,0.33168053599871916,1960
Lüleburgaz,1968,5,0.32962072997495045,0.0921628006978385,1960
Lüleburgaz,1968,6,-0.03948049076243705,-0.4452836755880386,1960
Lüleburgaz,1968,7,-0.22306244325464533,-0.696824802841893,1960
Lüleburgaz,1968,8,-0.2735252913078725,-0.6439438325957199,1960
Lüleburgaz,1968,9,-0.07068516334367128,-0.30842059531266003,1960
Lüleburgaz,1968,10,-0.3156681082698759,-0.5516322080548253,1960
Lüleburgaz,1968,11,-0.3723041339964167,-0.6906689889397303,1960
Lüleburgaz,1968,12,-0.13788955731006675,-0.32855838539599,1960
Lüleburgaz,1969,1,-0.9710076003604529,-1.3425252301231834,1960
