name,indeks,D,n,secilen,AD,p_boot,B_ok,AICc_secim,uyum
Çorlu,SPEI,4,35,GEV,0.255,0.58,250,Gumbel,False
Çorlu,SPEI,5,35,GEV,0.208,0.772,250,Gumbel,False
Çorlu,SPEI,6,35,GEV,0.123,0.984,250,Gumbel,False
Çorlu,SPEI,7,32,GEV,0.146,0.94,250,Gumbel,False
Çorlu,SPEI,8,29,GEV,0.201,0.792,250,Gumbel,False
Çorlu,SPEI,9,27,GEV,0.215,0.72,250,Gumbel,False
Çorlu,SPEI,10,25,GEV,0.393,0.252,250,Gumbel,False
Çorlu,SPEI,11,23,GEV,0.229,0.664,250,Gumbel,False
Çorlu,SPEI,12,23,GEV,0.193,0.82,250,Gumbel,False
Çorlu,SPI,1,45,Weibull3,0.25,0.744,250,Weibull3,True
Çorlu,SPI,2,43,Weibull3,0.431,0.324,250,Weibull3,True
Çorlu,SPI,3,38,Weibull3,0.371,0.392,250,Gumbel,False
Çorlu,SPI,4,36,GEV,0.327,0.388,250,Weibull3,False
Çorlu,SPI,5,35,Gumbel,0.204,0.908,250,Gamma3,False
Çorlu,SPI,6,34,GEV,0.181,0.856,250,Gumbel,False
Çorlu,SPI,7,31,GEV,0.155,0.968,250,Gumbel,False
Çorlu,SPI,8,31,GEV,0.203,0.788,250,Gumbel,False
Çorlu,SPI,9,29,Lojistik,0.187,0.908,250,Gumbel,False
Çorlu,SPI,10,27,Lojistik,0.187,0.912,250,Gumbel,False
Çorlu,SPI,11,26,LN3,0.21,0.756,250,Gumbel,False
Çorlu,SPI,12,26,GEV,0.249,0.596,250,Gumbel,False
İpsala,SPEI,1,41,GEV,0.307,0.4,250,Gamma3,False
İpsala,SPEI,2,38,Gumbel,0.247,0.772,250,Weibull3,False
İpsala,SPEI,3,35,Weibull3,0.192,0.896,250,Gumbel,False
İpsala,SPEI,4,34,GEV,0.241,0.692,250,Gumbel,False
İpsala,SPEI,5,34,GEV,0.302,0.48,250,Weibull3,False
İpsala,SPEI,6,33,Weibull3,0.224,0.8,250,Weibull3,True
İpsala,SPEI,7,32,Weibull3,0.278,0.716,250,Weibull3,True
İpsala,SPEI,8,30,GEV,0.24,0.648,250,Weibull3,False
İpsala,SPEI,9,26,Weibull3,0.147,0.988,250,Gumbel,False
İpsala,SPEI,10,25,GEV,0.151,0.948,250,Gumbel,False
İpsala,SPEI,11,24,LN3,0.171,0.908,250,Weibull3,False
İpsala,SPEI,12,23,LN3,0.168,0.892,250,Weibull3,False
İpsala,SPI,1,44,Lojistik,0.6,0.092,250,Gamma3,False
İpsala,SPI,2,37,Normal,0.435,0.324,250,Weibull3,False
İpsala,SPI,3,32,Lojistik,0.298,0.536,250,Gumbel,False
İpsala,SPI,4,32,Lojistik,0.326,0.448,250,Gumbel,False
İpsala,SPI,5,32,GEV,0.221,0.744,250,Gumbel,False
İpsala,SPI,6,31,Gumbel,0.234,0.792,250,Gumbel,True
İpsala,SPI,7,30,GEV,0.249,0.612,250,Gumbel,False
İpsala,SPI,8,29,LN3,0.22,0.7,250,Gumbel,False
İpsala,SPI,9,29,LN3,0.215,0.736,250,Gumbel,False
İpsala,SPI,10,27,LN3,0.286,0.508,250,Gumbel,False
İpsala,SPI,11,24,GEV,0.354,0.284,250,Gumbel,False
İpsala,SPI,12,23,GEV,0.416,0.18,250,Gumbel,False
