model,ssp,name,indeks,pencere,D,n_nonzero,P0,dagilim,T10,T50,T100
ACCESS-CM2,ssp585,Uzunköprü,SPI,2030-2059,6,12,0.6,Gamma3,6.52,9.93,11.3
ACCESS-CM2,ssp585,Uzunköprü,SPI,2070-2099,3,25,0.167,GEV,5.82,6.74,6.98
ACCESS-CM2,ssp585,Uzunköprü,SPI,2070-2099,6,24,0.2,Weibull3,10.59,13.26,14.19
ACCESS-CM2,ssp585,Uzunköprü,SPI,2070-2099,9,23,0.233,Gumbel,14.95,20.87,23.36
ACCESS-CM2,ssp585,Uzunköprü,SPI,2070-2099,12,18,0.4,GEV,17.6,20.36,21.03
ACCESS-CM2,ssp585,Uzunköprü,SPEI,2030-2059,3,26,0.133,LN3,9.24,12.56,13.9
ACCESS-CM2,ssp585,Uzunköprü,SPEI,2030-2059,6,24,0.2,LN3,16.09,20.89,22.77
ACCESS-CM2,ssp585,Uzunköprü,SPEI,2030-2059,9,21,0.3,GEV,21.79,30.48,34.49
ACCESS-CM2,ssp585,Uzunköprü,SPEI,2030-2059,12,20,0.333,Gumbel,28.08,38.12,42.33
ACCESS-CM2,ssp585,Uzunköprü,SPEI,2070-2099,3,30,0.0,Gumbel,18.87,24.24,26.51
ACCESS-CM2,ssp585,Uzunköprü,SPEI,2070-2099,6,30,0.0,GEV,27.51,27.66,27.67
ACCESS-CM2,ssp585,Uzunköprü,SPEI,2070-2099,9,30,0.0,GEV,40.44,41.27,41.41
ACCESS-CM2,ssp585,Uzunköprü,SPEI,2070-2099,12,30,0.0,GEV,52.22,53.3,53.47
ACCESS-CM2,ssp585,Çorlu,SPI,2030-2059,3,25,0.167,GEV,5.43,8.99,10.92
ACCESS-CM2,ssp585,Çorlu,SPI,2030-2059,6,21,0.3,GEV,9.67,14.18,16.14
ACCESS-CM2,ssp585,Çorlu,SPI,2030-2059,9,16,0.467,LN3,14.51,21.52,24.61
ACCESS-CM2,ssp585,Çorlu,SPI,2030-2059,12,14,0.533,GEV,18.83,25.81,28.36
ACCESS-CM2,ssp585,Çorlu,SPI,2070-2099,3,25,0.167,Weibull3,6.58,7.69,8.06
ACCESS-CM2,ssp585,Çorlu,SPI,2070-2099,6,24,0.2,Weibull3,12.58,15.09,15.95
ACCESS-CM2,ssp585,Çorlu,SPI,2070-2099,9,20,0.333,Lojistik,18.51,23.26,25.2
ACCESS-CM2,ssp585,Çorlu,SPI,2070-2099,12,17,0.433,Lojistik,23.21,29.01,31.34
ACCESS-CM2,ssp585,Çorlu,SPEI,2030-2059,3,28,0.067,Gumbel,10.93,15.12,16.9
ACCESS-CM2,ssp585,Çorlu,SPEI,2030-2059,6,28,0.067,LN3,18.62,22.79,24.28
ACCESS-CM2,ssp585,Çorlu,SPEI,2030-2059,9,24,0.2,Weibull3,27.42,33.63,35.86
ACCESS-CM2,ssp585,Çorlu,SPEI,2030-2059,12,24,0.2,Gumbel,36.15,48.09,53.12
ACCESS-CM2,ssp585,Çorlu,SPEI,2070-2099,3,30,0.0,GEV,13.92,14.2,14.24
ACCESS-CM2,ssp585,Çorlu,SPEI,2070-2099,6,30,0.0,GEV,26.02,26.63,26.72
ACCESS-CM2,ssp585,Çorlu,SPEI,2070-2099,9,30,0.0,Weibull3,38.15,40.16,40.78
ACCESS-CM2,ssp585,Çorlu,SPEI,2070-2099,12,30,0.0,Weibull3,49.48,52.51,53.46
ACCESS-CM2,ssp585,İpsala,SPI,2030-2059,3,23,0.233,LN3,4.49,8.36,10.46
ACCESS-CM2,ssp585,İpsala,SPI,2030-2059,6,18,0.4,GEV,7.74,14.2,17.82
ACCESS-CM2,ssp585,İpsala,SPI,2030-2059,9,13,0.567,GEV,11.93,17.27,19.27
ACCESS-CM2,ssp585,İpsala,SPI,2070-2099,3,24,0.2,Lojistik,4.86,6.11,6.62
ACCESS-CM2,ssp585,İpsala,SPI,2070-2099,6,23,0.233,GEV,9.26,10.67,11.02
ACCESS-CM2,ssp585,İpsala,SPI,2070-2099,9,18,0.4,Weibull3,13.37,15.06,15.55
ACCESS-CM2,ssp585,İpsala,SPI,2070-2099,12,13,0.567,GEV,16.33,17.81,18.13
ACCESS-CM2,ssp585,İpsala,SPEI,2030-2059,3,29,0.033,Weibull3,9.78,12.0,12.76
ACCESS-CM2,ssp585,İpsala,SPEI,2030-2059,6,27,0.1,Gumbel,17.22,23.35,25.93
ACCESS-CM2,ssp585,İpsala,SPEI,2030-2059,9,26,0.133,Gumbel,24.84,33.75,37.51
ACCESS-CM2,ssp585,İpsala,SPEI,2030-2059,12,25,0.167,Weibull3,31.59,38.89,41.45
ACCESS-CM2,ssp585,İpsala,SPEI,2070-2099,3,30,0.0,Weibull3,13.39,14.11,14.33
ACCESS-CM2,ssp585,İpsala,SPEI,2070-2099,6,30,0.0,GEV,25.68,27.01,27.3
ACCESS-CM2,ssp585,İpsala,SPEI,2070-2099,9,30,0.0,GEV,36.91,39.01,39.48
ACCESS-CM2,ssp585,İpsala,SPEI,2070-2099,12,30,0.0,Weibull3,48.08,52.59,54.09
GFDL-ESM4,ssp245,Edirne,SPI,2030-2059,3,19,0.367,Gamma3,5.49,7.71,8.55
GFDL-ESM4,ssp245,Edirne,SPI,2030-2059,6,14,0.533,GEV,8.33,12.35,14.23
GFDL-ESM4,ssp245,Edirne,SPI,2070-2099,3,21,0.3,GEV,5.05,5.97,6.2
GFDL-ESM4,ssp245,Edirne,SPI,2070-2099,6,15,0.5,Lojistik,8.86,11.65,12.75
GFDL-ESM4,ssp245,Edirne,SPI,2070-2099,9,12,0.6,Gumbel,11.81,16.7,18.7
GFDL-ESM4,ssp245,Edirne,SPEI,2030-2059,3,28,0.067,Weibull3,7.9,10.53,11.5
GFDL-ESM4,ssp245,Edirne,SPEI,2030-2059,6,22,0.267,Normal,13.73,16.82,17.89
GFDL-ESM4,ssp245,Edirne,SPEI,2030-2059,9,19,0.367,Weibull3,18.67,26.48,29.54
GFDL-ESM4,ssp245,Edirne,SPEI,2030-2059,12,13,0.567,GEV,23.13,29.14,30.95
GFDL-ESM4,ssp245,Edirne,SPEI,2070-2099,3,30,0.0,Weibull3,9.29,12.05,13.05
GFDL-ESM4,ssp245,Edirne,SPEI,2070-2099,6,25,0.167,LN3,16.73,22.13,24.25
GFDL-ESM4,ssp245,Edirne,SPEI,2070-2099,9,23,0.233,LN3,23.94,30.51,33.0
GFDL-ESM4,ssp245,Edirne,SPEI,2070-2099,12,19,0.367,Weibull3,30.79,38.19,40.72
