ssp,pencere,indeks,name,D,T10_gel,T50_gel,T100_gel,T10_tar,T50_tar,T100_tar,dT10_%,dT50_%,dT100_%
ssp585,2030-2059,SPEI,Tekirdağ,3,8.78,10.15,10.53,5.23,7.44,8.34,68.0,36.0,26.0
ssp585,2030-2059,SPEI,Tekirdağ,6,15.92,19.03,20.09,10.14,14.18,15.64,57.0,34.0,28.0
ssp585,2030-2059,SPEI,Tekirdağ,9,22.11,27.85,29.95,13.89,21.17,24.34,59.0,32.0,23.0
ssp585,2030-2059,SPEI,Tekirdağ,12,26.94,35.49,40.25,17.12,27.16,31.21,57.0,31.0,29.0
ssp585,2030-2059,SPEI,Uzunköprü,3,9.24,12.36,13.27,5.42,7.66,8.56,70.0,61.0,55.0
ssp585,2030-2059,SPEI,Uzunköprü,6,16.09,22.44,24.42,9.87,13.71,15.23,63.0,64.0,60.0
ssp585,2030-2059,SPEI,Uzunköprü,9,21.79,30.48,34.49,13.86,20.37,23.03,57.0,50.0,50.0
ssp585,2030-2059,SPEI,Uzunköprü,12,27.47,38.12,42.33,16.92,24.9,28.14,62.0,53.0,50.0
ssp585,2030-2059,SPEI,Çorlu,3,8.27,10.01,11.03,5.43,8.08,9.18,52.0,24.0,20.0
ssp585,2030-2059,SPEI,Çorlu,6,15.65,21.74,24.28,10.09,16.01,18.75,55.0,36.0,29.0
ssp585,2030-2059,SPEI,Çorlu,9,21.53,30.74,34.7,14.17,22.24,26.06,52.0,38.0,33.0
ssp585,2030-2059,SPEI,Çorlu,12,26.63,39.8,45.71,17.46,27.96,33.41,53.0,42.0,37.0
ssp585,2030-2059,SPEI,İpsala,3,9.6,12.0,12.76,5.49,7.8,8.63,75.0,54.0,48.0
ssp585,2030-2059,SPEI,İpsala,6,15.46,20.36,22.16,9.5,13.82,15.41,63.0,47.0,44.0
ssp585,2030-2059,SPEI,İpsala,9,20.75,25.28,27.11,13.62,19.71,21.91,52.0,28.0,24.0
ssp585,2030-2059,SPEI,İpsala,12,28.825,35.265,37.480000000000004,16.2,27.49,32.84,78.0,28.0,14.0
ssp585,2030-2059,SPI,Edirne,3,5.27,6.57,7.02,4.57,5.93,6.41,15.0,11.0,10.0
ssp585,2030-2059,SPI,Edirne,6,8.68,10.85,11.79,8.07,9.41,9.74,8.0,15.0,21.0
ssp585,2030-2059,SPI,Edirne,9,14.1,25.86,32.39,11.08,13.65,14.52,27.0,89.0,123.0
ssp585,2030-2059,SPI,Kırklareli,3,4.83,5.8,6.34,4.66,7.11,8.14,4.0,-18.0,-22.0
ssp585,2030-2059,SPI,Kırklareli,6,8.1,10.71,11.73,8.88,15.78,19.42,-9.0,-32.0,-40.0
ssp585,2030-2059,SPI,Kırklareli,9,13.71,22.91,27.57,12.79,23.1,28.62,7.0,-1.0,-4.0
ssp585,2030-2059,SPI,Lüleburgaz,3,4.47,7.42,7.94,5.07,7.01,7.8,-12.0,6.0,2.0
ssp585,2030-2059,SPI,Lüleburgaz,6,7.74,11.86,12.24,9.08,12.55,13.94,-15.0,-5.0,-12.0
ssp585,2030-2059,SPI,Lüleburgaz,9,13.85,17.23,18.31,12.29,16.69,18.42,13.0,3.0,-1.0
ssp585,2030-2059,SPI,Lüleburgaz,12,16.3,22.91,25.62,15.5,21.1,23.29,5.0,9.0,10.0
ssp585,2030-2059,SPI,Sarıyer,3,5.17,8.11,9.32,5.29,7.08,7.76,-2.0,15.0,20.0
ssp585,2030-2059,SPI,Sarıyer,6,8.83,15.84,17.33,9.12,12.63,14.06,-3.0,25.0,23.0
ssp585,2030-2059,SPI,Sarıyer,9,12.29,24.26,34.16,12.58,17.36,19.26,-2.0,40.0,77.0
ssp585,2030-2059,SPI,Sarıyer,12,19.22,23.79,25.04,15.41,22.16,24.82,25.0,7.0,1.0
ssp585,2030-2059,SPI,Tekirdağ,3,5.29,8.29,9.15,5.17,7.82,8.83,2.0,6.0,4.0
ssp585,2030-2059,SPI,Tekirdağ,6,8.92,12.34,12.85,9.28,12.58,13.9,-4.0,-2.0,-8.0
ssp585,2030-2059,SPI,Tekirdağ,9,13.53,16.72,18.47,12.95,18.24,20.41,4.0,-8.0,-10.0
ssp585,2030-2059,SPI,Tekirdağ,12,17.81,23.58,25.47,15.48,22.55,25.84,15.0,5.0,-1.0
ssp585,2030-2059,SPI,Uzunköprü,3,4.88,7.69,8.94,5.23,6.47,6.78,-7.0,19.0,32.0
ssp585,2030-2059,SPI,Uzunköprü,6,8.4,13.34,14.5,9.64,12.1,12.77,-13.0,10.0,14.0
ssp585,2030-2059,SPI,Uzunköprü,9,13.97,17.37,18.49,13.5,17.01,18.16,3.0,2.0,2.0
ssp585,2030-2059,SPI,Uzunköprü,12,16.06,22.52,25.27,16.71,22.18,24.14,-4.0,2.0,5.0
ssp585,2030-2059,SPI,Çorlu,3,5.5,9.27,10.92,5.19,7.44,8.27,6.0,25.0,32.0
ssp585,2030-2059,SPI,Çorlu,6,9.71,14.8,16.26,9.47,13.69,15.39,3.0,8.0,6.0
